word,rank,frequency,source
high,164,0.00609756,google_20k_evaluation
school,165,0.00606061,google_20k_evaluation
through,166,0.00602410,google_20k_evaluation
m,167,0.00598802,google_20k_evaluation
each,168,0.00595238,google_20k_evaluation
links,169,0.00591716,google_20k_evaluation
she,170,0.00588235,google_20k_evaluation
review,171,0.00584795,google_20k_evaluation
years,172,0.00581395,google_20k_evaluation
order,173,0.00578035,google_20k_evaluation
very,174,0.00574713,google_20k_evaluation
privacy,175,0.00571429,google_20k_evaluation
book,176,0.00568182,google_20k_evaluation
items,177,0.00564972,google_20k_evaluation
company,178,0.00561798,google_20k_evaluation
r,179,0.00558659,google_20k_evaluation
read,180,0.00555556,google_20k_evaluation
group,181,0.00552486,google_20k_evaluation
sex,182,0.00549451,google_20k_evaluation
need,183,0.00546448,google_20k_evaluation
many,184,0.00543478,google_20k_evaluation
user,185,0.00540541,google_20k_evaluation
said,186,0.00537634,google_20k_evaluation
de,187,0.00534759,google_20k_evaluation
does,188,0.00531915,google_20k_evaluation
set,189,0.00529101,google_20k_evaluation
under,190,0.00526316,google_20k_evaluation
general,191,0.00523560,google_20k_evaluation
research,192,0.00520833,google_20k_evaluation
university,193,0.00518135,google_20k_evaluation
january,194,0.00515464,google_20k_evaluation
mail,195,0.00512821,google_20k_evaluation
full,196,0.00510204,google_20k_evaluation
map,197,0.00507614,google_20k_evaluation
reviews,198,0.00505051,google_20k_evaluation
program,199,0.00502513,google_20k_evaluation
life,200,0.00500000,google_20k_evaluation
know,201,0.00497512,google_20k_evaluation
games,202,0.00495050,google_20k_evaluation
way,203,0.00492611,google_20k_evaluation
days,204,0.00490196,google_20k_evaluation
management,205,0.00487805,google_20k_evaluation
p,206,0.00485437,google_20k_evaluation
part,207,0.00483092,google_20k_evaluation
could,208,0.00480769,google_20k_evaluation
great,209,0.00478469,google_20k_evaluation
united,210,0.00476190,google_20k_evaluation
hotel,211,0.00473934,google_20k_evaluation
real,212,0.00471698,google_20k_evaluation
f,213,0.00469484,google_20k_evaluation
item,214,0.00467290,google_20k_evaluation
international,215,0.00465116,google_20k_evaluation
center,216,0.00462963,google_20k_evaluation
ebay,217,0.00460829,google_20k_evaluation
must,218,0.00458716,google_20k_evaluation
store,219,0.00456621,google_20k_evaluation
travel,220,0.00454545,google_20k_evaluation
comments,221,0.00452489,google_20k_evaluation
made,222,0.00450450,google_20k_evaluation
development,223,0.00448430,google_20k_evaluation
report,224,0.00446429,google_20k_evaluation
off,225,0.00444444,google_20k_evaluation
member,226,0.00442478,google_20k_evaluation
details,227,0.00440529,google_20k_evaluation
line,228,0.00438596,google_20k_evaluation
terms,229,0.00436681,google_20k_evaluation
before,230,0.00434783,google_20k_evaluation
hotels,231,0.00432900,google_20k_evaluation
did,232,0.00431034,google_20k_evaluation
send,233,0.00429185,google_20k_evaluation
right,234,0.00427350,google_20k_evaluation
type,235,0.00425532,google_20k_evaluation
because,236,0.00423729,google_20k_evaluation
local,237,0.00421941,google_20k_evaluation
those,238,0.00420168,google_20k_evaluation
using,239,0.00418410,google_20k_evaluation
results,240,0.00416667,google_20k_evaluation
office,241,0.00414938,google_20k_evaluation
education,242,0.00413223,google_20k_evaluation
national,243,0.00411523,google_20k_evaluation
car,244,0.00409836,google_20k_evaluation
design,245,0.00408163,google_20k_evaluation
take,246,0.00406504,google_20k_evaluation
posted,247,0.00404858,google_20k_evaluation
internet,248,0.00403226,google_20k_evaluation
address,249,0.00401606,google_20k_evaluation
community,250,0.00400000,google_20k_evaluation
within,251,0.00398406,google_20k_evaluation
states,252,0.00396825,google_20k_evaluation
area,253,0.00395257,google_20k_evaluation
want,254,0.00393701,google_20k_evaluation
phone,255,0.00392157,google_20k_evaluation
dvd,256,0.00390625,google_20k_evaluation
shipping,257,0.00389105,google_20k_evaluation
reserved,258,0.00387597,google_20k_evaluation
subject,259,0.00386100,google_20k_evaluation
between,260,0.00384615,google_20k_evaluation
forum,261,0.00383142,google_20k_evaluation
family,262,0.00381679,google_20k_evaluation
l,263,0.00380228,google_20k_evaluation
long,264,0.00378788,google_20k_evaluation
based,265,0.00377358,google_20k_evaluation
w,266,0.00375940,google_20k_evaluation
code,267,0.00374532,google_20k_evaluation
show,268,0.00373134,google_20k_evaluation
o,269,0.00371747,google_20k_evaluation
even,270,0.00370370,google_20k_evaluation
black,271,0.00369004,google_20k_evaluation
check,272,0.00367647,google_20k_evaluation
special,273,0.00366300,google_20k_evaluation
prices,274,0.00364964,google_20k_evaluation
website,275,0.00363636,google_20k_evaluation
index,276,0.00362319,google_20k_evaluation
being,277,0.00361011,google_20k_evaluation
women,278,0.00359712,google_20k_evaluation
much,279,0.00358423,google_20k_evaluation
sign,280,0.00357143,google_20k_evaluation
file,281,0.00355872,google_20k_evaluation
link,282,0.00354610,google_20k_evaluation
open,283,0.00353357,google_20k_evaluation
today,284,0.00352113,google_20k_evaluation
technology,285,0.00350877,google_20k_evaluation
south,286,0.00349650,google_20k_evaluation
case,287,0.00348432,google_20k_evaluation
project,288,0.00347222,google_20k_evaluation
same,289,0.00346021,google_20k_evaluation
pages,290,0.00344828,google_20k_evaluation
uk,291,0.00343643,google_20k_evaluation
version,292,0.00342466,google_20k_evaluation
section,293,0.00341297,google_20k_evaluation
own,294,0.00340136,google_20k_evaluation
found,295,0.00338983,google_20k_evaluation
sports,296,0.00337838,google_20k_evaluation
house,297,0.00336700,google_20k_evaluation
related,298,0.00335570,google_20k_evaluation
security,299,0.00334448,google_20k_evaluation
both,300,0.00333333,google_20k_evaluation
g,301,0.00332226,google_20k_evaluation
county,302,0.00331126,google_20k_evaluation
american,303,0.00330033,google_20k_evaluation
photo,304,0.00328947,google_20k_evaluation
game,305,0.00327869,google_20k_evaluation
members,306,0.00326797,google_20k_evaluation
power,307,0.00325733,google_20k_evaluation
while,308,0.00324675,google_20k_evaluation
care,309,0.00323625,google_20k_evaluation
network,310,0.00322581,google_20k_evaluation
down,311,0.00321543,google_20k_evaluation
computer,312,0.00320513,google_20k_evaluation
systems,313,0.00319489,google_20k_evaluation
three,314,0.00318471,google_20k_evaluation
total,315,0.00317460,google_20k_evaluation
place,316,0.00316456,google_20k_evaluation
end,317,0.00315457,google_20k_evaluation
following,318,0.00314465,google_20k_evaluation
download,319,0.00313480,google_20k_evaluation
h,320,0.00312500,google_20k_evaluation
him,321,0.00311526,google_20k_evaluation
without,322,0.00310559,google_20k_evaluation
per,323,0.00309598,google_20k_evaluation
access,324,0.00308642,google_20k_evaluation
think,325,0.00307692,google_20k_evaluation
north,326,0.00306748,google_20k_evaluation
resources,327,0.00305810,google_20k_evaluation
current,328,0.00304878,google_20k_evaluation
posts,329,0.00303951,google_20k_evaluation
big,330,0.00303030,google_20k_evaluation
media,331,0.00302115,google_20k_evaluation
law,332,0.00301205,google_20k_evaluation
control,333,0.00300300,google_20k_evaluation
water,334,0.00299401,google_20k_evaluation
history,335,0.00298507,google_20k_evaluation
pictures,336,0.00297619,google_20k_evaluation
size,337,0.00296736,google_20k_evaluation
art,338,0.00295858,google_20k_evaluation
personal,339,0.00294985,google_20k_evaluation
since,340,0.00294118,google_20k_evaluation
including,341,0.00293255,google_20k_evaluation
guide,342,0.00292398,google_20k_evaluation
shop,343,0.00291545,google_20k_evaluation
directory,344,0.00290698,google_20k_evaluation
board,345,0.00289855,google_20k_evaluation
location,346,0.00289017,google_20k_evaluation
change,347,0.00288184,google_20k_evaluation
white,348,0.00287356,google_20k_evaluation
text,349,0.00286533,google_20k_evaluation
small,350,0.00285714,google_20k_evaluation
rating,351,0.00284900,google_20k_evaluation
rate,352,0.00284091,google_20k_evaluation
government,353,0.00283286,google_20k_evaluation
children,354,0.00282486,google_20k_evaluation
during,355,0.00281690,google_20k_evaluation
usa,356,0.00280899,google_20k_evaluation
return,357,0.00280112,google_20k_evaluation
students,358,0.00279330,google_20k_evaluation
v,359,0.00278552,google_20k_evaluation
shopping,360,0.00277778,google_20k_evaluation
account,361,0.00277008,google_20k_evaluation
times,362,0.00276243,google_20k_evaluation
sites,363,0.00275482,google_20k_evaluation
level,364,0.00274725,google_20k_evaluation
digital,365,0.00273973,google_20k_evaluation
profile,366,0.00273224,google_20k_evaluation
previous,367,0.00272480,google_20k_evaluation
form,368,0.00271739,google_20k_evaluation
events,369,0.00271003,google_20k_evaluation
love,370,0.00270270,google_20k_evaluation
old,371,0.00269542,google_20k_evaluation
john,372,0.00268817,google_20k_evaluation
main,373,0.00268097,google_20k_evaluation
call,374,0.00267380,google_20k_evaluation
hours,375,0.00266667,google_20k_evaluation
image,376,0.00265957,google_20k_evaluation
department,377,0.00265252,google_20k_evaluation
title,378,0.00264550,google_20k_evaluation
description,379,0.00263852,google_20k_evaluation
non,380,0.00263158,google_20k_evaluation
k,381,0.00262467,google_20k_evaluation
y,382,0.00261780,google_20k_evaluation
insurance,383,0.00261097,google_20k_evaluation
another,384,0.00260417,google_20k_evaluation
why,385,0.00259740,google_20k_evaluation
shall,386,0.00259067,google_20k_evaluation
property,387,0.00258398,google_20k_evaluation
class,388,0.00257732,google_20k_evaluation
cd,389,0.00257069,google_20k_evaluation
still,390,0.00256410,google_20k_evaluation
money,391,0.00255754,google_20k_evaluation
quality,392,0.00255102,google_20k_evaluation
every,393,0.00254453,google_20k_evaluation
listing,394,0.00253807,google_20k_evaluation
content,395,0.00253165,google_20k_evaluation
country,396,0.00252525,google_20k_evaluation
private,397,0.00251889,google_20k_evaluation
little,398,0.00251256,google_20k_evaluation
visit,399,0.00250627,google_20k_evaluation
save,400,0.00250000,google_20k_evaluation
tools,401,0.00249377,google_20k_evaluation
low,402,0.00248756,google_20k_evaluation
reply,403,0.00248139,google_20k_evaluation
customer,404,0.00247525,google_20k_evaluation
december,405,0.00246914,google_20k_evaluation
compare,406,0.00246305,google_20k_evaluation
movies,407,0.00245700,google_20k_evaluation
include,408,0.00245098,google_20k_evaluation
college,409,0.00244499,google_20k_evaluation
value,410,0.00243902,google_20k_evaluation
article,411,0.00243309,google_20k_evaluation
york,412,0.00242718,google_20k_evaluation
man,413,0.00242131,google_20k_evaluation
card,414,0.00241546,google_20k_evaluation
jobs,415,0.00240964,google_20k_evaluation
provide,416,0.00240385,google_20k_evaluation
j,417,0.00239808,google_20k_evaluation
food,418,0.00239234,google_20k_evaluation
source,419,0.00238663,google_20k_evaluation
author,420,0.00238095,google_20k_evaluation
different,421,0.00237530,google_20k_evaluation
press,422,0.00236967,google_20k_evaluation
u,423,0.00236407,google_20k_evaluation
learn,424,0.00235849,google_20k_evaluation
sale,425,0.00235294,google_20k_evaluation
around,426,0.00234742,google_20k_evaluation
print,427,0.00234192,google_20k_evaluation
course,428,0.00233645,google_20k_evaluation
job,429,0.00233100,google_20k_evaluation
canada,430,0.00232558,google_20k_evaluation
process,431,0.00232019,google_20k_evaluation
teen,432,0.00231481,google_20k_evaluation
room,433,0.00230947,google_20k_evaluation
stock,434,0.00230415,google_20k_evaluation
training,435,0.00229885,google_20k_evaluation
too,436,0.00229358,google_20k_evaluation
credit,437,0.00228833,google_20k_evaluation
point,438,0.00228311,google_20k_evaluation
join,439,0.00227790,google_20k_evaluation
science,440,0.00227273,google_20k_evaluation
men,441,0.00226757,google_20k_evaluation
categories,442,0.00226244,google_20k_evaluation
advanced,443,0.00225734,google_20k_evaluation
west,444,0.00225225,google_20k_evaluation
sales,445,0.00224719,google_20k_evaluation
look,446,0.00224215,google_20k_evaluation
english,447,0.00223714,google_20k_evaluation
left,448,0.00223214,google_20k_evaluation
team,449,0.00222717,google_20k_evaluation
estate,450,0.00222222,google_20k_evaluation
box,451,0.00221729,google_20k_evaluation
conditions,452,0.00221239,google_20k_evaluation
select,453,0.00220751,google_20k_evaluation
windows,454,0.00220264,google_20k_evaluation
photos,455,0.00219780,google_20k_evaluation
gay,456,0.00219298,google_20k_evaluation
thread,457,0.00218818,google_20k_evaluation
week,458,0.00218341,google_20k_evaluation
category,459,0.00217865,google_20k_evaluation
note,460,0.00217391,google_20k_evaluation
live,461,0.00216920,google_20k_evaluation
large,462,0.00216450,google_20k_evaluation
gallery,463,0.00215983,google_20k_evaluation
table,464,0.00215517,google_20k_evaluation
register,465,0.00215054,google_20k_evaluation
however,466,0.00214592,google_20k_evaluation
june,467,0.00214133,google_20k_evaluation
october,468,0.00213675,google_20k_evaluation
november,469,0.00213220,google_20k_evaluation
market,470,0.00212766,google_20k_evaluation
library,471,0.00212314,google_20k_evaluation
really,472,0.00211864,google_20k_evaluation
action,473,0.00211416,google_20k_evaluation
start,474,0.00210970,google_20k_evaluation
series,475,0.00210526,google_20k_evaluation
model,476,0.00210084,google_20k_evaluation
features,477,0.00209644,google_20k_evaluation
air,478,0.00209205,google_20k_evaluation
industry,479,0.00208768,google_20k_evaluation
plan,480,0.00208333,google_20k_evaluation
human,481,0.00207900,google_20k_evaluation
provided,482,0.00207469,google_20k_evaluation
tv,483,0.00207039,google_20k_evaluation
yes,484,0.00206612,google_20k_evaluation
required,485,0.00206186,google_20k_evaluation
second,486,0.00205761,google_20k_evaluation
hot,487,0.00205339,google_20k_evaluation
accessories,488,0.00204918,google_20k_evaluation
cost,489,0.00204499,google_20k_evaluation
movie,490,0.00204082,google_20k_evaluation
forums,491,0.00203666,google_20k_evaluation
march,492,0.00203252,google_20k_evaluation
la,493,0.00202840,google_20k_evaluation
september,494,0.00202429,google_20k_evaluation
better,495,0.00202020,google_20k_evaluation
say,496,0.00201613,google_20k_evaluation
questions,497,0.00201207,google_20k_evaluation
july,498,0.00200803,google_20k_evaluation
yahoo,499,0.00200401,google_20k_evaluation
going,500,0.00200000,google_20k_evaluation
medical,501,0.00199601,google_20k_evaluation
test,502,0.00199203,google_20k_evaluation
friend,503,0.00198807,google_20k_evaluation
come,504,0.00198413,google_20k_evaluation
dec,505,0.00198020,google_20k_evaluation
server,506,0.00197628,google_20k_evaluation
pc,507,0.00197239,google_20k_evaluation
study,508,0.00196850,google_20k_evaluation
application,509,0.00196464,google_20k_evaluation
cart,510,0.00196078,google_20k_evaluation
staff,511,0.00195695,google_20k_evaluation
articles,512,0.00195312,google_20k_evaluation
san,513,0.00194932,google_20k_evaluation
feedback,514,0.00194553,google_20k_evaluation
again,515,0.00194175,google_20k_evaluation
play,516,0.00193798,google_20k_evaluation
looking,517,0.00193424,google_20k_evaluation
issues,518,0.00193050,google_20k_evaluation
april,519,0.00192678,google_20k_evaluation
never,520,0.00192308,google_20k_evaluation
users,521,0.00191939,google_20k_evaluation
complete,522,0.00191571,google_20k_evaluation
street,523,0.00191205,google_20k_evaluation
topic,524,0.00190840,google_20k_evaluation
comment,525,0.00190476,google_20k_evaluation
financial,526,0.00190114,google_20k_evaluation
things,527,0.00189753,google_20k_evaluation
working,528,0.00189394,google_20k_evaluation
against,529,0.00189036,google_20k_evaluation
standard,530,0.00188679,google_20k_evaluation
tax,531,0.00188324,google_20k_evaluation
person,532,0.00187970,google_20k_evaluation
below,533,0.00187617,google_20k_evaluation
mobile,534,0.00187266,google_20k_evaluation
less,535,0.00186916,google_20k_evaluation
got,536,0.00186567,google_20k_evaluation
blog,537,0.00186220,google_20k_evaluation
party,538,0.00185874,google_20k_evaluation
payment,539,0.00185529,google_20k_evaluation
equipment,540,0.00185185,google_20k_evaluation
login,541,0.00184843,google_20k_evaluation
student,542,0.00184502,google_20k_evaluation
let,543,0.00184162,google_20k_evaluation
programs,544,0.00183824,google_20k_evaluation
offers,545,0.00183486,google_20k_evaluation
legal,546,0.00183150,google_20k_evaluation
above,547,0.00182815,google_20k_evaluation
recent,548,0.00182482,google_20k_evaluation
park,549,0.00182149,google_20k_evaluation
stores,550,0.00181818,google_20k_evaluation
side,551,0.00181488,google_20k_evaluation
act,552,0.00181159,google_20k_evaluation
problem,553,0.00180832,google_20k_evaluation
red,554,0.00180505,google_20k_evaluation
give,555,0.00180180,google_20k_evaluation
memory,556,0.00179856,google_20k_evaluation
performance,557,0.00179533,google_20k_evaluation
social,558,0.00179211,google_20k_evaluation
q,559,0.00178891,google_20k_evaluation
august,560,0.00178571,google_20k_evaluation
quote,561,0.00178253,google_20k_evaluation
language,562,0.00177936,google_20k_evaluation
story,563,0.00177620,google_20k_evaluation
sell,564,0.00177305,google_20k_evaluation
options,565,0.00176991,google_20k_evaluation
experience,566,0.00176678,google_20k_evaluation
rates,567,0.00176367,google_20k_evaluation
create,568,0.00176056,google_20k_evaluation
key,569,0.00175747,google_20k_evaluation
body,570,0.00175439,google_20k_evaluation
young,571,0.00175131,google_20k_evaluation
america,572,0.00174825,google_20k_evaluation
important,573,0.00174520,google_20k_evaluation
field,574,0.00174216,google_20k_evaluation
few,575,0.00173913,google_20k_evaluation
east,576,0.00173611,google_20k_evaluation
paper,577,0.00173310,google_20k_evaluation
single,578,0.00173010,google_20k_evaluation
ii,579,0.00172712,google_20k_evaluation
age,580,0.00172414,google_20k_evaluation
activities,581,0.00172117,google_20k_evaluation
club,582,0.00171821,google_20k_evaluation
example,583,0.00171527,google_20k_evaluation
girls,584,0.00171233,google_20k_evaluation
additional,585,0.00170940,google_20k_evaluation
password,586,0.00170648,google_20k_evaluation
z,587,0.00170358,google_20k_evaluation
latest,588,0.00170068,google_20k_evaluation
something,589,0.00169779,google_20k_evaluation
road,590,0.00169492,google_20k_evaluation
gift,591,0.00169205,google_20k_evaluation
question,592,0.00168919,google_20k_evaluation
changes,593,0.00168634,google_20k_evaluation
night,594,0.00168350,google_20k_evaluation
ca,595,0.00168067,google_20k_evaluation
hard,596,0.00167785,google_20k_evaluation
texas,597,0.00167504,google_20k_evaluation
oct,598,0.00167224,google_20k_evaluation
pay,599,0.00166945,google_20k_evaluation
four,600,0.00166667,google_20k_evaluation
poker,601,0.00166389,google_20k_evaluation
status,602,0.00166113,google_20k_evaluation
browse,603,0.00165837,google_20k_evaluation
issue,604,0.00165563,google_20k_evaluation
range,605,0.00165289,google_20k_evaluation
building,606,0.00165017,google_20k_evaluation
seller,607,0.00164745,google_20k_evaluation
court,608,0.00164474,google_20k_evaluation
february,609,0.00164204,google_20k_evaluation
always,610,0.00163934,google_20k_evaluation
result,611,0.00163666,google_20k_evaluation
audio,612,0.00163399,google_20k_evaluation
light,613,0.00163132,google_20k_evaluation
write,614,0.00162866,google_20k_evaluation
war,615,0.00162602,google_20k_evaluation
nov,616,0.00162338,google_20k_evaluation
offer,617,0.00162075,google_20k_evaluation
blue,618,0.00161812,google_20k_evaluation
groups,619,0.00161551,google_20k_evaluation
al,620,0.00161290,google_20k_evaluation
easy,621,0.00161031,google_20k_evaluation
given,622,0.00160772,google_20k_evaluation
files,623,0.00160514,google_20k_evaluation
event,624,0.00160256,google_20k_evaluation
release,625,0.00160000,google_20k_evaluation
analysis,626,0.00159744,google_20k_evaluation
request,627,0.00159490,google_20k_evaluation
fax,628,0.00159236,google_20k_evaluation
china,629,0.00158983,google_20k_evaluation
making,630,0.00158730,google_20k_evaluation
picture,631,0.00158479,google_20k_evaluation
needs,632,0.00158228,google_20k_evaluation
possible,633,0.00157978,google_20k_evaluation
might,634,0.00157729,google_20k_evaluation
professional,635,0.00157480,google_20k_evaluation
yet,636,0.00157233,google_20k_evaluation
month,637,0.00156986,google_20k_evaluation
major,638,0.00156740,google_20k_evaluation
star,639,0.00156495,google_20k_evaluation
areas,640,0.00156250,google_20k_evaluation
future,641,0.00156006,google_20k_evaluation
space,642,0.00155763,google_20k_evaluation
committee,643,0.00155521,google_20k_evaluation
hand,644,0.00155280,google_20k_evaluation
sun,645,0.00155039,google_20k_evaluation
cards,646,0.00154799,google_20k_evaluation
problems,647,0.00154560,google_20k_evaluation
london,648,0.00154321,google_20k_evaluation
washington,649,0.00154083,google_20k_evaluation
meeting,650,0.00153846,google_20k_evaluation
rss,651,0.00153610,google_20k_evaluation
become,652,0.00153374,google_20k_evaluation
interest,653,0.00153139,google_20k_evaluation
id,654,0.00152905,google_20k_evaluation
child,655,0.00152672,google_20k_evaluation
keep,656,0.00152439,google_20k_evaluation
enter,657,0.00152207,google_20k_evaluation
california,658,0.00151976,google_20k_evaluation
porn,659,0.00151745,google_20k_evaluation
share,660,0.00151515,google_20k_evaluation
similar,661,0.00151286,google_20k_evaluation
garden,662,0.00151057,google_20k_evaluation
schools,663,0.00150830,google_20k_evaluation
million,664,0.00150602,google_20k_evaluation
added,665,0.00150376,google_20k_evaluation
reference,666,0.00150150,google_20k_evaluation
companies,667,0.00149925,google_20k_evaluation
listed,668,0.00149701,google_20k_evaluation
baby,669,0.00149477,google_20k_evaluation
learning,670,0.00149254,google_20k_evaluation
energy,671,0.00149031,google_20k_evaluation
run,672,0.00148810,google_20k_evaluation
delivery,673,0.00148588,google_20k_evaluation
net,674,0.00148368,google_20k_evaluation
popular,675,0.00148148,google_20k_evaluation
term,676,0.00147929,google_20k_evaluation
film,677,0.00147710,google_20k_evaluation
stories,678,0.00147493,google_20k_evaluation
put,679,0.00147275,google_20k_evaluation
computers,680,0.00147059,google_20k_evaluation
journal,681,0.00146843,google_20k_evaluation
reports,682,0.00146628,google_20k_evaluation
co,683,0.00146413,google_20k_evaluation
try,684,0.00146199,google_20k_evaluation
welcome,685,0.00145985,google_20k_evaluation
central,686,0.00145773,google_20k_evaluation
images,687,0.00145560,google_20k_evaluation
president,688,0.00145349,google_20k_evaluation
